,beta,HR (95% CI for HR),wald.test,p.value
C5orf36,0.81,2.2 (1.5-3.4),14,0.00018
TSPAN3,-0.96,0.38 (0.23-0.63),14,0.00019
MTSS1L,-0.83,0.44 (0.28-0.68),14,0.00019
FAM72D,0.51,1.7 (1.3-2.2),14,0.00019
CDCP1,0.39,1.5 (1.2-1.8),14,0.00019
SPOCD1,0.2,1.2 (1.1-1.4),14,2.00E-04
SNAI1,0.3,1.4 (1.2-1.6),14,2.00E-04
NCF1,0.36,1.4 (1.2-1.7),14,2.00E-04
HSPA7,0.22,1.3 (1.1-1.4),14,2.00E-04
GGN,0.48,1.6 (1.3-2.1),14,2.00E-04
CDC42BPB,-1.1,0.34 (0.19-0.6),14,2.00E-04
BTF3,-1.1,0.34 (0.19-0.6),14,2.00E-04
TCF7,0.38,1.5 (1.2-1.8),14,0.00021
TBC1D8B,0.43,1.5 (1.2-1.9),14,0.00021
RPL34,-0.79,0.45 (0.3-0.69),14,0.00021
RHOH,0.38,1.5 (1.2-1.8),14,0.00021
RHOC,0.64,1.9 (1.4-2.7),14,0.00021
RAC2,0.38,1.5 (1.2-1.8),14,0.00021
C17orf87,0.37,1.5 (1.2-1.8),14,0.00021
ACCS,0.33,1.4 (1.2-1.7),14,0.00021
SLC7A1,-0.78,0.46 (0.3-0.69),14,0.00022
RRN3P2,0.47,1.6 (1.2-2),14,0.00022
NRD1,1.3,3.7 (1.9-7.4),14,0.00022
LRRC46,0.35,1.4 (1.2-1.7),14,0.00022
GPR65,0.26,1.3 (1.1-1.5),14,0.00022
CCDC114,0.32,1.4 (1.2-1.6),14,0.00022
BTN2A3,0.47,1.6 (1.2-2.1),14,0.00022
SOX9,0.66,1.9 (1.4-2.7),14,0.00023
RAB14,-2,0.13 (0.046-0.39),14,0.00023
MT1X,-0.39,0.68 (0.55-0.83),14,0.00023
SCHIP1,-0.84,0.43 (0.27-0.67),14,0.00024
FAM23A,-0.41,0.66 (0.53-0.83),13,0.00024
DCLK2,-0.67,0.51 (0.36-0.73),14,0.00024
C6orf89,-1.5,0.22 (0.098-0.49),14,0.00024
ZNF383,1.1,3 (1.7-5.4),13,0.00025
SEC16B,0.46,1.6 (1.2-2),13,0.00025
RPSAP58,-0.85,0.43 (0.27-0.67),13,0.00025
RPL6,-0.88,0.42 (0.26-0.66),13,0.00025
RPA1,1.4,4.2 (2-9.1),13,0.00025
MSL3L2,0.3,1.4 (1.2-1.6),13,0.00025
IL4I1,0.4,1.5 (1.2-1.9),13,0.00025
EIF3A,-1,0.36 (0.2-0.62),13,0.00025
CYTIP,0.41,1.5 (1.2-1.9),13,0.00025
CABP1,-0.26,0.77 (0.67-0.88),13,0.00025
NHP2L1,-0.9,0.41 (0.25-0.66),13,0.00026
CIAO1,-2.8,0.059 (0.013-0.27),13,0.00026
WDR1,1,2.7 (1.6-4.7),13,0.00027
TMEM182,0.93,2.5 (1.5-4.1),13,0.00027
STAT3,1,2.8 (1.6-5),13,0.00027
ENDOU,-0.33,0.72 (0.6-0.86),13,0.00027
EGFR,0.33,1.4 (1.2-1.7),13,0.00027
ACCN3,-0.45,0.64 (0.5-0.81),13,0.00027
MLLT11,-0.57,0.57 (0.42-0.77),13,0.00028
LOC643763,-0.28,0.76 (0.65-0.88),13,0.00028
VPS13D,-0.58,0.56 (0.41-0.77),13,0.00029
SYCE2,-0.37,0.69 (0.56-0.84),13,0.00029
SPATA9,-0.61,0.54 (0.39-0.76),13,0.00029
SLC14A2,-0.25,0.78 (0.68-0.89),13,0.00029
SATB1,-0.63,0.53 (0.38-0.75),13,0.00029
RPL31,-0.81,0.45 (0.29-0.69),13,0.00029
RNF187,-1.3,0.28 (0.14-0.56),13,0.00029
FAM70B,0.34,1.4 (1.2-1.7),13,0.00029
SPINT1,0.37,1.4 (1.2-1.8),13,3.00E-04
KCNJ10,-0.61,0.54 (0.39-0.75),13,3.00E-04
GLT25D2,-0.59,0.55 (0.4-0.76),13,3.00E-04
DYNC1H1,-1.1,0.33 (0.18-0.61),13,0.00031
ARHGEF7,-0.73,0.48 (0.32-0.72),13,0.00031
ZNF613,1,2.7 (1.6-4.7),13,0.00032
NUMA1,-0.9,0.41 (0.25-0.66),13,0.00032
CYP2B7P1,-0.41,0.66 (0.53-0.83),13,0.00032
CHCHD2,0.57,1.8 (1.3-2.4),13,0.00032
STRAP,-1.6,0.2 (0.08-0.48),13,0.00033
SLFN12,0.41,1.5 (1.2-1.9),13,0.00033
SALL2,-0.62,0.54 (0.38-0.75),13,0.00033
RPS3,-0.69,0.5 (0.34-0.73),13,0.00033
MFF,-1.3,0.29 (0.14-0.57),13,0.00033
FAM26F,0.3,1.4 (1.1-1.6),13,0.00033
CTNNA1,1,2.7 (1.6-4.7),13,0.00033
CD164,0.85,2.3 (1.5-3.7),13,0.00033
ATXN10,-1.2,0.3 (0.16-0.58),13,0.00033
SPON2,0.21,1.2 (1.1-1.4),13,0.00034
S100A6,0.39,1.5 (1.2-1.8),13,0.00034
RND2,-0.35,0.71 (0.59-0.85),13,0.00034
PPIL5,0.68,2 (1.4-2.9),13,0.00034
NRXN1,-0.34,0.71 (0.59-0.86),13,0.00034
ELMO1,-0.52,0.6 (0.45-0.79),13,0.00034
CD180,0.34,1.4 (1.2-1.7),13,0.00034
B3GNT1,-0.93,0.39 (0.24-0.66),13,0.00034
ZSCAN22,0.96,2.6 (1.5-4.4),13,0.00035
ZMYND10,0.24,1.3 (1.1-1.5),13,0.00035
MGC12982,0.26,1.3 (1.1-1.5),13,0.00035
LOC143666,-0.54,0.58 (0.44-0.78),13,0.00035
CNN3,0.56,1.7 (1.3-2.4),13,0.00035
SECTM1,0.27,1.3 (1.1-1.5),13,0.00036
NCRNA00171,-0.86,0.42 (0.26-0.68),13,0.00036
C6orf81,-0.38,0.69 (0.56-0.84),13,0.00036
C14orf28,-0.97,0.38 (0.22-0.65),13,0.00036
TRIO,0.65,1.9 (1.3-2.7),13,0.00037
TPM3,1.3,3.7 (1.8-7.5),13,0.00037
PLB1,0.39,1.5 (1.2-1.8),13,0.00037
FLJ11235,0.56,1.8 (1.3-2.4),13,0.00037
COL21A1,0.24,1.3 (1.1-1.5),13,0.00037
ADAMTS14,0.29,1.3 (1.1-1.6),13,0.00037
TRIP12,1.6,5.1 (2.1-13),13,0.00038
TRIM38,0.48,1.6 (1.2-2.1),13,0.00038
ITGAL,0.3,1.3 (1.1-1.6),13,0.00038
CNTD1,-0.75,0.47 (0.31-0.71),13,0.00038
C10orf105,0.21,1.2 (1.1-1.4),13,0.00038
PTPRD,-0.46,0.63 (0.49-0.82),13,0.00039
POM121,1.2,3.2 (1.7-6.1),13,0.00039
NFKBIZ,0.43,1.5 (1.2-1.9),13,0.00039
E2F2,0.26,1.3 (1.1-1.5),13,0.00039
DAG1,0.76,2.1 (1.4-3.3),13,4.00E-04
CYFIP2,-0.67,0.51 (0.35-0.74),13,4.00E-04
CCDC102A,0.56,1.7 (1.3-2.4),13,4.00E-04
C10orf41,0.62,1.9 (1.3-2.6),13,4.00E-04
TUFT1,0.47,1.6 (1.2-2.1),12,0.00041
SH3BGRL3,0.79,2.2 (1.4-3.4),12,0.00041
RPL37A,-0.82,0.44 (0.28-0.69),12,0.00041
MYOT,-0.29,0.75 (0.64-0.88),12,0.00041
USP34,-1.2,0.29 (0.14-0.58),12,0.00042
RPSA,-0.77,0.46 (0.3-0.71),12,0.00042
RPL37,-0.89,0.41 (0.25-0.67),12,0.00042
MYO1G,0.25,1.3 (1.1-1.5),12,0.00042
ITGA4,0.37,1.4 (1.2-1.8),12,0.00042
GPR39,0.4,1.5 (1.2-1.9),12,0.00042
EIF3D,-1,0.35 (0.2-0.63),12,0.00042
EEF1G,-0.64,0.52 (0.37-0.75),12,0.00042
C17orf72,0.27,1.3 (1.1-1.5),12,0.00042
TC2N,0.25,1.3 (1.1-1.5),12,0.00043
SLC25A3,-1.6,0.2 (0.081-0.49),12,0.00043
MPZL2,0.29,1.3 (1.1-1.6),12,0.00043
COPA,1.2,3.4 (1.7-6.9),12,0.00043
ADAMTS12,-0.31,0.73 (0.61-0.87),12,0.00043
TMEM59L,-0.54,0.58 (0.43-0.79),12,0.00044
KLF1,-0.5,0.6 (0.46-0.8),12,0.00044
GDI1,-1.1,0.32 (0.17-0.6),12,0.00044
ARHGAP32,-0.63,0.53 (0.37-0.76),12,0.00044
DARS,-0.87,0.42 (0.26-0.68),12,0.00045
C1QTNF2,0.47,1.6 (1.2-2.1),12,0.00045
ACRBP,0.47,1.6 (1.2-2.1),12,0.00045
ZNF586,0.94,2.5 (1.5-4.3),12,0.00046
PSMD8,1,2.8 (1.6-5.1),12,0.00046
CDC42BPA,0.69,2 (1.4-3),12,0.00046
CCDC122,0.32,1.4 (1.2-1.6),12,0.00046
TLR3,0.41,1.5 (1.2-1.9),12,0.00047
NFE2,0.44,1.6 (1.2-2),12,0.00047
MAPK8IP2,-0.44,0.64 (0.5-0.82),12,0.00047
DAZAP2,-1.1,0.33 (0.18-0.61),12,0.00047
STAU1,2,7.7 (2.4-24),12,0.00048
PSMC5,-1.6,0.19 (0.076-0.49),12,0.00048
LRRC2,0.24,1.3 (1.1-1.5),12,0.00048
LOC100270746,-0.5,0.61 (0.46-0.8),12,0.00048
C15orf37,0.68,2 (1.3-2.9),12,0.00048
NTNG1,0.32,1.4 (1.1-1.6),12,0.00049
CCR6,0.51,1.7 (1.2-2.2),12,0.00049
VSIG10L,0.48,1.6 (1.2-2.1),12,5.00E-04
SREBF2,-0.68,0.51 (0.35-0.74),12,5.00E-04
IQUB,0.3,1.4 (1.1-1.6),12,5.00E-04
ENO2,-0.63,0.53 (0.37-0.76),12,5.00E-04
TBC1D14,-1,0.37 (0.21-0.65),12,0.00051
RPL27A,-0.86,0.43 (0.26-0.69),12,0.00051
C9orf167,0.51,1.7 (1.2-2.2),12,0.00051
KCNK7,-0.4,0.67 (0.54-0.84),12,0.00052
ITGB7,0.33,1.4 (1.2-1.7),12,0.00052
FYN,-0.92,0.4 (0.24-0.67),12,0.00052
FAM72A,0.56,1.7 (1.3-2.4),12,0.00052
SLC12A4,-0.65,0.52 (0.36-0.75),12,0.00053
PEX5,-1.3,0.28 (0.13-0.57),12,0.00053
C5orf25,0.34,1.4 (1.2-1.7),12,0.00053
ARHGAP15,0.33,1.4 (1.2-1.7),12,0.00053
VIM,0.29,1.3 (1.1-1.6),12,0.00054
SPP1,0.26,1.3 (1.1-1.5),12,0.00054
NFE2L2,1.2,3.4 (1.7-6.7),12,0.00054
LOC401052,0.68,2 (1.3-2.9),12,0.00054
SF1,-1.8,0.16 (0.057-0.45),12,0.00055
KIF27,0.58,1.8 (1.3-2.5),12,0.00055
CFP,0.44,1.6 (1.2-2),12,0.00055
ZNF311,0.44,1.5 (1.2-2),12,0.00056
TCEAL4,-1.5,0.22 (0.095-0.52),12,0.00056
RILP,0.6,1.8 (1.3-2.5),12,0.00056
DDIT4,-0.37,0.69 (0.56-0.85),12,0.00056
SSR3,1.1,3 (1.6-5.7),12,0.00057
CCDC150,0.4,1.5 (1.2-1.9),12,0.00058
BARD1,0.5,1.7 (1.2-2.2),12,0.00058
PPP1R1C,0.31,1.4 (1.1-1.6),12,0.00059
C16orf54,0.38,1.5 (1.2-1.8),12,0.00059
RPL39L,0.39,1.5 (1.2-1.8),12,0.00061
DPYSL3,-0.58,0.56 (0.4-0.78),12,0.00061
CD69,0.23,1.3 (1.1-1.4),12,0.00061
GDF9,-0.69,0.5 (0.34-0.74),12,0.00062
PGBD3,-1,0.37 (0.21-0.65),12,0.00063
OASL,0.24,1.3 (1.1-1.5),12,0.00063
FBXO15,-0.58,0.56 (0.4-0.78),12,0.00063
TUBB2C,0.61,1.8 (1.3-2.6),12,0.00064
TOP1P1,1.3,3.7 (1.8-7.9),12,0.00064
C14orf174,0.38,1.5 (1.2-1.8),12,0.00064
SGSM2,-1,0.37 (0.2-0.65),12,0.00065
FAM171B,-0.57,0.56 (0.41-0.78),12,0.00065
ZNF345,0.77,2.2 (1.4-3.4),12,0.00066
VILL,0.37,1.4 (1.2-1.8),12,0.00066
C1orf135,0.47,1.6 (1.2-2.1),12,0.00066
ATAD5,0.49,1.6 (1.2-2.2),12,0.00066
CCDC81,0.31,1.4 (1.1-1.6),12,0.00067
ADRA1B,-0.28,0.76 (0.64-0.89),12,0.00067
SYBU,-0.44,0.64 (0.5-0.83),12,0.00068
MTTP,0.31,1.4 (1.1-1.6),12,0.00068
MAP2,-0.39,0.67 (0.54-0.85),12,0.00068
EIF4G1,1.5,4.6 (1.9-11),12,0.00068
ATP6V0A1,-1,0.37 (0.21-0.65),12,0.00068
SDHA,-1.1,0.34 (0.18-0.63),12,0.00069
SAP18,-1,0.36 (0.2-0.65),12,0.00069
MYO7B,-0.34,0.71 (0.59-0.87),12,0.00069
KIF5B,-1.1,0.32 (0.17-0.62),12,0.00069
GALNT12,0.43,1.5 (1.2-2),12,0.00069
TNPO1,1.3,3.5 (1.7-7.4),12,7.00E-04
SLC2A4,-0.28,0.76 (0.65-0.89),11,7.00E-04
CCDC89,0.29,1.3 (1.1-1.6),11,7.00E-04
PHLPP1,-0.66,0.52 (0.35-0.76),11,0.00071
KCNE3,0.41,1.5 (1.2-1.9),11,0.00071
HELLS,0.37,1.4 (1.2-1.8),11,0.00071
GPRC5B,-0.57,0.57 (0.41-0.79),11,0.00071
FBP1,0.34,1.4 (1.2-1.7),11,0.00071
SLC16A11,0.35,1.4 (1.2-1.7),11,0.00072
PIH1D2,0.41,1.5 (1.2-1.9),11,0.00072
CENPP,0.51,1.7 (1.2-2.2),11,0.00072
C6orf165,0.26,1.3 (1.1-1.5),11,0.00073
ZSCAN20,0.85,2.3 (1.4-3.8),11,0.00074
FAM134A,-1.3,0.26 (0.12-0.57),11,0.00074
C10orf58,-0.34,0.71 (0.59-0.87),11,0.00074
TFAP2E,-0.44,0.65 (0.5-0.83),11,0.00075
NF1,-0.71,0.49 (0.32-0.74),11,0.00075
ATP1A1,0.62,1.9 (1.3-2.6),11,0.00075
MCF2,-0.23,0.79 (0.69-0.91),11,0.00076
GABARAP,-1.1,0.33 (0.17-0.63),11,0.00076
ZFP36L2,0.57,1.8 (1.3-2.5),11,0.00077
LOC100270710,0.36,1.4 (1.2-1.8),11,0.00077
SLC25A41,-0.47,0.62 (0.47-0.82),11,0.00078
PDK3,0.54,1.7 (1.3-2.4),11,0.00079
SLC16A5,0.45,1.6 (1.2-2),11,8.00E-04
CALCOCO1,-1.1,0.34 (0.18-0.64),11,8.00E-04
AKAP6,-0.24,0.78 (0.68-0.9),11,8.00E-04
RTN4RL2,-0.31,0.73 (0.61-0.88),11,0.00081
PDZD9,-0.6,0.55 (0.38-0.78),11,0.00081
RPL32,-0.83,0.44 (0.27-0.71),11,0.00082
LUM,0.27,1.3 (1.1-1.5),11,0.00082
ARHGEF4,-0.5,0.6 (0.45-0.81),11,0.00082
PDIA3,0.92,2.5 (1.5-4.3),11,0.00084
ZMYND12,0.33,1.4 (1.1-1.7),11,0.00085
SERINC1,-0.81,0.44 (0.27-0.71),11,0.00085
MLKL,0.51,1.7 (1.2-2.2),11,0.00085
LOC401093,-0.76,0.47 (0.3-0.73),11,0.00085
MAPK8IP1,-0.71,0.49 (0.32-0.75),11,0.00088
HRH3,-0.19,0.82 (0.74-0.92),11,0.00088
BATF2,0.4,1.5 (1.2-1.9),11,0.00088
ABCA3,-0.98,0.38 (0.21-0.67),11,0.00088
RBM24,0.23,1.3 (1.1-1.4),11,9.00E-04
PMS2L11,0.61,1.8 (1.3-2.6),11,9.00E-04
NOX4,0.26,1.3 (1.1-1.5),11,9.00E-04
ST8SIA5,0.25,1.3 (1.1-1.5),11,0.00091
PDZK1,0.58,1.8 (1.3-2.5),11,0.00091
MGC16703,-0.58,0.56 (0.4-0.79),11,0.00091
NCRNA00176,-0.33,0.72 (0.59-0.87),11,0.00092
GABARAPL2,-1,0.36 (0.2-0.66),11,0.00092
VPS4A,-1.9,0.15 (0.048-0.46),11,0.00093
MPDZ,-0.7,0.5 (0.33-0.75),11,0.00093
LBXCOR1,-0.56,0.57 (0.41-0.8),11,0.00094
HLA.B,0.4,1.5 (1.2-1.9),11,0.00094
CDK5R1,-0.38,0.68 (0.54-0.86),11,0.00094
MAP1A,-0.59,0.55 (0.39-0.79),11,0.00096
SEC31A,0.87,2.4 (1.4-4),11,0.00097
RBM47,0.36,1.4 (1.2-1.8),11,0.00097
PALLD,0.67,2 (1.3-2.9),11,0.00097
EEF1A1,-0.62,0.54 (0.37-0.78),11,0.00097
MSL1,-1.4,0.25 (0.11-0.57),11,0.00098
CD40,0.5,1.6 (1.2-2.2),11,0.00098
ZNF582,0.96,2.6 (1.5-4.7),11,0.00099
U2AF2,1,2.8 (1.5-5.3),11,0.001
SMG5,1.3,3.7 (1.7-8),11,0.001
RPS4X,-0.77,0.46 (0.29-0.73),11,0.001
RPL19,-0.81,0.44 (0.27-0.72),11,0.001
LRRC61,0.26,1.3 (1.1-1.5),11,0.001
KLRK1,-0.23,0.79 (0.69-0.91),11,0.001
KCNE2,-0.62,0.54 (0.37-0.78),11,0.001
HIPK2,-0.58,0.56 (0.4-0.79),11,0.001
GPRIN3,0.41,1.5 (1.2-1.9),11,0.001
CELF2,-0.77,0.46 (0.29-0.73),11,0.001
CASC3,-1.1,0.34 (0.18-0.65),11,0.001
C2orf34,0.54,1.7 (1.2-2.4),11,0.001
SYTL3,0.36,1.4 (1.2-1.8),11,0.0011
SYN3,-0.29,0.75 (0.63-0.89),11,0.0011
RPS29,-0.68,0.51 (0.34-0.76),11,0.0011
POLDIP3,-0.87,0.42 (0.25-0.7),11,0.0011
PAWR,0.33,1.4 (1.1-1.7),11,0.0011
NIPAL2,0.28,1.3 (1.1-1.6),11,0.0011
LTB,0.35,1.4 (1.1-1.7),11,0.0011
HSP90B1,1,2.8 (1.5-5.2),11,0.0011
GVIN1,0.41,1.5 (1.2-1.9),11,0.0011
FZD8,0.35,1.4 (1.2-1.8),11,0.0011
FAM164C,0.35,1.4 (1.2-1.8),11,0.0011
CCNB3,-0.42,0.66 (0.51-0.85),11,0.0011
B3GALT1,0.34,1.4 (1.1-1.7),11,0.0011
APOE,-0.37,0.69 (0.55-0.86),11,0.0011
ZEB1,-0.57,0.57 (0.4-0.8),11,0.0012
VNN2,0.32,1.4 (1.1-1.7),11,0.0012
TAF1A,0.92,2.5 (1.4-4.4),11,0.0012
STK32B,0.3,1.3 (1.1-1.6),10,0.0012
RTDR1,0.36,1.4 (1.2-1.8),11,0.0012
RPH3AL,-0.79,0.45 (0.28-0.73),11,0.0012
RCN3,0.43,1.5 (1.2-2),10,0.0012
RAD9B,0.75,2.1 (1.3-3.3),11,0.0012
PTP4A2,0.93,2.5 (1.4-4.4),11,0.0012
LOC440957,0.59,1.8 (1.3-2.6),10,0.0012
KIAA1919,0.81,2.2 (1.4-3.7),11,0.0012
GLIS1,-0.27,0.76 (0.65-0.9),11,0.0012
FAM101A,-0.42,0.65 (0.51-0.85),10,0.0012
CYSLTR2,0.37,1.4 (1.2-1.8),11,0.0012
C7orf41,-0.4,0.67 (0.53-0.85),11,0.0012
BIRC3,0.36,1.4 (1.2-1.8),10,0.0012
ZNF638,-1.6,0.2 (0.075-0.53),10,0.0013
ZNF573,0.59,1.8 (1.3-2.6),10,0.0013
TM9SF4,1.6,4.7 (1.8-12),10,0.0013
TLR8,0.26,1.3 (1.1-1.5),10,0.0013
SP140,0.37,1.5 (1.2-1.8),10,0.0013
SCRG1,-0.39,0.68 (0.54-0.86),10,0.0013
RTKN,-0.52,0.59 (0.43-0.82),10,0.0013
HSPB8,-0.29,0.75 (0.63-0.89),10,0.0013
GK3P,0.68,2 (1.3-3),10,0.0013
ETV4,0.13,1.1 (1.1-1.2),10,0.0013
DUSP4,0.2,1.2 (1.1-1.4),10,0.0013
CUTA,-1.5,0.23 (0.094-0.56),10,0.0013
CHD3,-0.72,0.49 (0.32-0.76),10,0.0013
CD226,0.31,1.4 (1.1-1.6),10,0.0013
ATAD3C,0.31,1.4 (1.1-1.7),10,0.0013
VWA3B,0.28,1.3 (1.1-1.6),10,0.0014
TCP10L,-0.62,0.54 (0.37-0.79),10,0.0014
ST7OT3,-0.65,0.52 (0.35-0.78),10,0.0014
RNF39,-0.48,0.62 (0.46-0.83),10,0.0014
PRSS27,-0.6,0.55 (0.38-0.79),10,0.0014
NPHP1,0.49,1.6 (1.2-2.2),10,0.0014
MYO5B,0.3,1.4 (1.1-1.6),10,0.0014
LOC729020,1.1,2.9 (1.5-5.5),10,0.0014
HLA.C,0.41,1.5 (1.2-1.9),10,0.0014
GRID2IP,-0.42,0.66 (0.51-0.85),10,0.0014
GJA5,0.27,1.3 (1.1-1.5),10,0.0014
EMP1,0.29,1.3 (1.1-1.6),10,0.0014
DCTN4,-1.3,0.28 (0.13-0.61),10,0.0014
COL8A2,0.28,1.3 (1.1-1.6),10,0.0014
ANXA6,-0.91,0.4 (0.23-0.7),10,0.0014
ZNF570,0.89,2.4 (1.4-4.2),10,0.0015
WDR93,0.3,1.3 (1.1-1.6),10,0.0015
TRIM67,-0.15,0.86 (0.79-0.94),10,0.0015
TIGD3,-0.56,0.57 (0.4-0.81),10,0.0015
SRCRB4D,0.51,1.7 (1.2-2.3),10,0.0015
SEC61A1,0.92,2.5 (1.4-4.5),10,0.0015
PUF60,-1.1,0.34 (0.17-0.66),10,0.0015
PTPLAD2,0.37,1.5 (1.2-1.8),10,0.0015
psiTPTE22,-0.14,0.87 (0.8-0.95),10,0.0015
PRMT2,1.3,3.6 (1.6-8.1),10,0.0015
PPP3CA,-0.77,0.46 (0.29-0.75),10,0.0015
PPL,0.17,1.2 (1.1-1.3),10,0.0015
PIK3CG,0.29,1.3 (1.1-1.6),10,0.0015
MXD4,-1,0.37 (0.2-0.68),10,0.0015
LOC100131691,0.48,1.6 (1.2-2.2),10,0.0015
LCA5L,0.41,1.5 (1.2-2),10,0.0015
KDM3B,-1,0.37 (0.2-0.68),10,0.0015
FGF17,-0.23,0.79 (0.69-0.91),10,0.0015
EYS,-0.34,0.71 (0.57-0.88),10,0.0015
CNBP,-1.3,0.27 (0.12-0.61),10,0.0015
ZNF321,0.53,1.7 (1.2-2.4),10,0.0016
VRK2,0.37,1.4 (1.1-1.8),9.9,0.0016
VAMP2,-0.64,0.53 (0.35-0.78),10,0.0016
SKP1,-1.4,0.25 (0.11-0.59),10,0.0016
PCDHB11,0.44,1.6 (1.2-2),9.9,0.0016
LRRC48,0.31,1.4 (1.1-1.6),10,0.0016
LOC400043,0.3,1.3 (1.1-1.6),10,0.0016
LASS2,0.69,2 (1.3-3),10,0.0016
LAMP3,0.28,1.3 (1.1-1.6),10,0.0016
IL2RB,0.22,1.2 (1.1-1.4),10,0.0016
GRAMD3,-0.53,0.59 (0.42-0.82),10,0.0016
GBAS,0.55,1.7 (1.2-2.4),10,0.0016
ESR2,0.44,1.6 (1.2-2),10,0.0016
CSNK2B,-1.4,0.24 (0.097-0.58),9.9,0.0016
CRIP3,-0.35,0.71 (0.57-0.88),10,0.0016
CATSPER2,-0.6,0.55 (0.38-0.8),9.9,0.0016
ZP3,0.38,1.5 (1.2-1.9),9.8,0.0017
VPS35,1.4,4.2 (1.7-10),9.9,0.0017
SPESP1,-0.39,0.68 (0.54-0.87),9.9,0.0017
SNN,-0.64,0.53 (0.35-0.79),9.8,0.0017
RGS14,0.23,1.3 (1.1-1.5),9.8,0.0017
PFN1,0.76,2.1 (1.3-3.4),9.9,0.0017
MAEL,0.32,1.4 (1.1-1.7),9.8,0.0017
LOC100128640,-0.58,0.56 (0.39-0.8),9.9,0.0017
JUN,0.39,1.5 (1.2-1.9),9.8,0.0017
HIP1R,-0.34,0.72 (0.58-0.88),9.9,0.0017
FAU,-0.87,0.42 (0.25-0.72),9.9,0.0017
ECSCR,0.26,1.3 (1.1-1.5),9.9,0.0017
DLGAP4,0.95,2.6 (1.4-4.7),9.9,0.0017
CYFIP1,0.57,1.8 (1.2-2.5),9.8,0.0017
CNOT1,1.2,3.3 (1.6-6.9),9.9,0.0017
C1orf144,0.8,2.2 (1.4-3.7),9.9,0.0017
C1orf113,0.42,1.5 (1.2-2),9.9,0.0017
C11orf20,-0.3,0.74 (0.62-0.89),9.8,0.0017
ALDH9A1,-0.83,0.44 (0.26-0.73),9.8,0.0017
TUG1,-0.88,0.42 (0.24-0.72),9.8,0.0018
TBX19,0.5,1.6 (1.2-2.2),9.8,0.0018
SP140L,0.4,1.5 (1.2-1.9),9.8,0.0018
RIBC1,0.28,1.3 (1.1-1.6),9.8,0.0018
PAFAH1B1,-1.2,0.29 (0.13-0.63),9.7,0.0018
OSCAR,0.33,1.4 (1.1-1.7),9.8,0.0018
KIAA1984,-0.51,0.6 (0.43-0.83),9.7,0.0018
HDAC5,-0.83,0.44 (0.26-0.73),9.8,0.0018
FGF9,-0.25,0.78 (0.67-0.91),9.8,0.0018
CTSB,0.64,1.9 (1.3-2.8),9.7,0.0018
C7orf31,0.44,1.5 (1.2-2),9.7,0.0018
C16orf71,0.39,1.5 (1.2-1.9),9.7,0.0018
ADAR,1,2.8 (1.5-5.2),9.8,0.0018
ZNF534,-0.52,0.59 (0.43-0.83),9.6,0.0019
TOB2,-0.65,0.52 (0.34-0.79),9.6,0.0019
TCF12,-0.35,0.7 (0.56-0.88),9.7,0.0019
PIP4K2B,-1.1,0.33 (0.16-0.67),9.6,0.0019
LILRB3,0.26,1.3 (1.1-1.5),9.6,0.0019
HPDL,0.38,1.5 (1.1-1.8),9.6,0.0019
CORO2B,0.73,2.1 (1.3-3.3),9.6,0.0019
VAPA,-1.2,0.3 (0.14-0.64),9.5,0.002
TFCP2L1,0.2,1.2 (1.1-1.4),9.6,0.002
REL,0.42,1.5 (1.2-2),9.6,0.002
MICB,0.34,1.4 (1.1-1.7),9.5,0.002
LOC100286844,-0.72,0.49 (0.31-0.77),9.6,0.002
HES4,-0.31,0.74 (0.61-0.89),9.5,0.002
DLGAP2,-0.18,0.83 (0.74-0.94),9.6,0.002
CYP39A1,0.35,1.4 (1.1-1.8),9.6,0.002
COTL1,0.52,1.7 (1.2-2.3),9.5,0.002
CASK,-0.62,0.54 (0.36-0.8),9.5,0.002
C20orf46,-0.44,0.64 (0.48-0.85),9.6,0.002
C10orf11,0.34,1.4 (1.1-1.7),9.5,0.002
ATP5O,-1.3,0.27 (0.12-0.62),9.6,0.002
ANKRD36BP1,0.56,1.8 (1.2-2.5),9.5,0.002
XYLB,0.47,1.6 (1.2-2.1),9.5,0.0021
SYNGR1,-0.46,0.63 (0.47-0.85),9.4,0.0021
SFRS18,-0.69,0.5 (0.32-0.78),9.5,0.0021
PLEKHB1,-0.39,0.68 (0.53-0.87),9.4,0.0021
MADD,-0.69,0.5 (0.32-0.78),9.5,0.0021
HSF4,-0.31,0.74 (0.61-0.89),9.5,0.0021
DAD1,-0.97,0.38 (0.2-0.7),9.5,0.0021
CCDC30,0.41,1.5 (1.2-2),9.4,0.0021
SLAIN1,-0.43,0.65 (0.49-0.86),9.4,0.0022
RPL29,-0.68,0.5 (0.33-0.78),9.4,0.0022
PRKDC,0.91,2.5 (1.4-4.4),9.4,0.0022
PIK3R1,-0.54,0.58 (0.41-0.82),9.4,0.0022
OGDH,1.1,3 (1.5-6),9.3,0.0022
NBR1,-1.2,0.29 (0.13-0.64),9.4,0.0022
JAM3,0.63,1.9 (1.3-2.8),9.4,0.0022
GPX3,-0.21,0.81 (0.7-0.93),9.4,0.0022
FOLR1,0.22,1.3 (1.1-1.4),9.3,0.0022
ARHGAP9,0.34,1.4 (1.1-1.7),9.4,0.0022
ALDOB,-0.45,0.64 (0.48-0.85),9.4,0.0022
